form_id,trial_id,trial_index,prompt_id,prompt_text,left_image_id,right_image_id,pair_distance
F01,T001,1,P01,Which image feels closer to your past week?,IMG_010,IMG_051,0.5560575509783138
F01,T002,2,P02,Which image feels more familiar right now?,IMG_047,IMG_058,0.6560487786742691
F01,T003,3,P03,Which image would you rather move away from?,IMG_031,IMG_003,0.8657944328765347
F01,T004,4,P04,Which image feels more like the background of your day?,IMG_060,IMG_042,0.7594735018419011
F01,T005,5,P05,Which image feels more emotionally loud?,IMG_042,IMG_058,0.6968500556073739
F01,T006,6,P06,Which image feels more like your current inner weather?,IMG_022,IMG_019,0.500499750249688
F01,T007,7,P07,Which image feels harder to leave?,IMG_023,IMG_010,0.6892024376045112
F01,T008,8,P08,Which image feels more difficult to describe?,IMG_033,IMG_037,0.8544003745317531
F01,T009,9,P01,Which image feels closer to your past week?,IMG_019,IMG_030,0.7960527620704547
F01,T010,10,P02,Which image feels more familiar right now?,IMG_016,IMG_046,0.8096912991998864
F01,T011,11,P03,Which image would you rather move away from?,IMG_025,IMG_033,0.7826237921249264
F01,T012,12,P04,Which image feels more like the background of your day?,IMG_047,IMG_019,0.8791473141629907
F01,T013,13,P05,Which image feels more emotionally loud?,IMG_040,IMG_047,0.5813776741499453
F01,T014,14,P06,Which image feels more like your current inner weather?,IMG_050,IMG_032,0.7963667496825819
F01,T015,15,P07,Which image feels harder to leave?,IMG_011,IMG_026,0.7555792479945436
F01,T016,16,P08,Which image feels more difficult to describe?,IMG_031,IMG_005,0.6033241251599343
F01,T017,17,P09,Which image pulls your attention more?,IMG_060,IMG_016,0.8572047596694735
F01,T018,18,P10,Which image feels more like the last few mornings?,IMG_011,IMG_041,0.6979971346646059
F01,T019,19,P11,Which image feels more like the end of the day?,IMG_047,IMG_016,0.8942035562443263
F01,T020,20,P12,Which image feels more like a place you have been in recently?,IMG_029,IMG_021,0.744983221287567
F01,T021,21,P01,Which image feels closer to your past week?,IMG_004,IMG_050,0.6462197768561405
F01,T022,22,P02,Which image feels more familiar right now?,IMG_038,IMG_013,0.6130252849597642
F01,T023,23,P03,Which image would you rather move away from?,IMG_031,IMG_045,0.8468766143896052
F01,T024,24,P04,Which image feels more like the background of your day?,IMG_033,IMG_039,0.8630179604156568
F01,T025,25,P05,Which image feels more emotionally loud?,IMG_019,IMG_037,0.9518928511129813
F01,T026,26,P06,Which image feels more like your current inner weather?,IMG_006,IMG_040,0.7782030583337488
F01,T027,27,P07,Which image feels harder to leave?,IMG_031,IMG_017,0.6940461079784254
F01,T028,28,P08,Which image feels more difficult to describe?,IMG_050,IMG_047,0.7348469228349535
F01,T029,29,P09,Which image pulls your attention more?,IMG_039,IMG_017,0.81
F01,T030,30,P10,Which image feels more like the last few mornings?,IMG_010,IMG_042,0.6979971346646059
F01,T031,31,P11,Which image feels more like the end of the day?,IMG_038,IMG_016,0.5289612462175277
F01,T032,32,P12,Which image feels more like a place you have been in recently?,IMG_063,IMG_036,0.6443601477434806
F01,T033,33,P01,Which image feels closer to your past week?,IMG_006,IMG_047,0.6890573270780886
F01,T034,34,P02,Which image feels more familiar right now?,IMG_062,IMG_019,0.5341348144429457
F01,T035,35,P03,Which image would you rather move away from?,IMG_029,IMG_048,0.6182232606429493
F01,T036,36,P04,Which image feels more like the background of your day?,IMG_020,IMG_023,0.6293647591023825
F01,T037,37,P05,Which image feels more emotionally loud?,IMG_024,IMG_036,0.9271461589199408
F01,T038,38,P06,Which image feels more like your current inner weather?,IMG_041,IMG_003,0.6406246951218787
F01,T039,39,P07,Which image feels harder to leave?,IMG_045,IMG_007,0.7578918128598566
F01,T040,40,P08,Which image feels more difficult to describe?,IMG_026,IMG_038,0.5738466694161429
F02,T001,1,P01,Which image feels closer to your past week?,IMG_010,IMG_051,0.5560575509783138
F02,T002,2,P02,Which image feels more familiar right now?,IMG_047,IMG_058,0.6560487786742691
F02,T003,3,P03,Which image would you rather move away from?,IMG_031,IMG_003,0.8657944328765347
F02,T004,4,P04,Which image feels more like the background of your day?,IMG_060,IMG_042,0.7594735018419011
F02,T005,5,P05,Which image feels more emotionally loud?,IMG_042,IMG_058,0.6968500556073739
F02,T006,6,P06,Which image feels more like your current inner weather?,IMG_022,IMG_019,0.500499750249688
F02,T007,7,P07,Which image feels harder to leave?,IMG_023,IMG_010,0.6892024376045112
F02,T008,8,P08,Which image feels more difficult to describe?,IMG_033,IMG_037,0.8544003745317531
F02,T009,9,P01,Which image feels closer to your past week?,IMG_027,IMG_007,0.7573638491504595
F02,T010,10,P02,Which image feels more familiar right now?,IMG_055,IMG_007,0.6418722614352484
F02,T011,11,P03,Which image would you rather move away from?,IMG_009,IMG_012,0.6
F02,T012,12,P04,Which image feels more like the background of your day?,IMG_029,IMG_025,0.9114274518577988
F02,T013,13,P05,Which image feels more emotionally loud?,IMG_045,IMG_060,0.5678027826631357
F02,T014,14,P06,Which image feels more like your current inner weather?,IMG_060,IMG_035,0.7619055059520178
F02,T015,15,P07,Which image feels harder to leave?,IMG_051,IMG_008,0.5585696017507576
F02,T016,16,P08,Which image feels more difficult to describe?,IMG_029,IMG_053,0.5853204250664759
F02,T017,17,P09,Which image pulls your attention more?,IMG_033,IMG_047,0.8747571091451615
F02,T018,18,P10,Which image feels more like the last few mornings?,IMG_006,IMG_022,0.7014271166700072
F02,T019,19,P11,Which image feels more like the end of the day?,IMG_026,IMG_059,0.6800735254367721
F02,T020,20,P12,Which image feels more like a place you have been in recently?,IMG_018,IMG_049,0.5184592558726288
F02,T021,21,P02,Which image feels more familiar right now?,IMG_046,IMG_012,0.9011104260855047
F02,T022,22,P03,Which image would you rather move away from?,IMG_016,IMG_054,0.816578226503744
F02,T023,23,P04,Which image feels more like the background of your day?,IMG_052,IMG_046,0.7730459236035077
F02,T024,24,P05,Which image feels more emotionally loud?,IMG_008,IMG_023,0.92660671268883
F02,T025,25,P06,Which image feels more like your current inner weather?,IMG_061,IMG_022,0.7435052118176442
F02,T026,26,P07,Which image feels harder to leave?,IMG_030,IMG_005,0.6203224967708328
F02,T027,27,P08,Which image feels more difficult to describe?,IMG_043,IMG_019,0.8588946384743592
F02,T028,28,P09,Which image pulls your attention more?,IMG_051,IMG_009,0.6415605972938176
F02,T029,29,P10,Which image feels more like the last few mornings?,IMG_010,IMG_028,0.7462573282722254
F02,T030,30,P11,Which image feels more like the end of the day?,IMG_008,IMG_056,0.8024961059095551
F02,T031,31,P12,Which image feels more like a place you have been in recently?,IMG_023,IMG_013,0.662268827591938
F02,T032,32,P01,Which image feels closer to your past week?,IMG_048,IMG_016,0.6554387843269576
F02,T033,33,P02,Which image feels more familiar right now?,IMG_036,IMG_027,0.8064738061462381
F02,T034,34,P03,Which image would you rather move away from?,IMG_025,IMG_031,0.9747307320486002
F02,T035,35,P04,Which image feels more like the background of your day?,IMG_012,IMG_035,0.9161331780914825
F02,T036,36,P05,Which image feels more emotionally loud?,IMG_017,IMG_057,0.6067124524847005
F02,T037,37,P06,Which image feels more like your current inner weather?,IMG_061,IMG_024,0.7615773105863909
F02,T038,38,P07,Which image feels harder to leave?,IMG_004,IMG_064,0.6059702963017246
F02,T039,39,P08,Which image feels more difficult to describe?,IMG_014,IMG_045,0.7022819946431775
F02,T040,40,P09,Which image pulls your attention more?,IMG_020,IMG_032,0.6688049042882386
F03,T001,1,P01,Which image feels closer to your past week?,IMG_010,IMG_051,0.5560575509783138
F03,T002,2,P02,Which image feels more familiar right now?,IMG_047,IMG_058,0.6560487786742691
F03,T003,3,P03,Which image would you rather move away from?,IMG_031,IMG_003,0.8657944328765347
F03,T004,4,P04,Which image feels more like the background of your day?,IMG_060,IMG_042,0.7594735018419011
F03,T005,5,P05,Which image feels more emotionally loud?,IMG_042,IMG_058,0.6968500556073739
F03,T006,6,P06,Which image feels more like your current inner weather?,IMG_022,IMG_019,0.500499750249688
F03,T007,7,P07,Which image feels harder to leave?,IMG_023,IMG_010,0.6892024376045112
F03,T008,8,P08,Which image feels more difficult to describe?,IMG_033,IMG_037,0.8544003745317531
F03,T009,9,P01,Which image feels closer to your past week?,IMG_003,IMG_010,0.5466260147486579
F03,T010,10,P02,Which image feels more familiar right now?,IMG_005,IMG_018,0.5868560300448484
F03,T011,11,P03,Which image would you rather move away from?,IMG_056,IMG_049,0.596322060635023
F03,T012,12,P04,Which image feels more like the background of your day?,IMG_038,IMG_049,0.5416641025580337
F03,T013,13,P05,Which image feels more emotionally loud?,IMG_045,IMG_037,0.71442284397967
F03,T014,14,P06,Which image feels more like your current inner weather?,IMG_007,IMG_002,0.5477225575051661
F03,T015,15,P07,Which image feels harder to leave?,IMG_057,IMG_040,0.6251399843235114
F03,T016,16,P08,Which image feels more difficult to describe?,IMG_027,IMG_047,0.9077444574328175
F03,T017,17,P09,Which image pulls your attention more?,IMG_046,IMG_019,0.7884795495128584
F03,T018,18,P10,Which image feels more like the last few mornings?,IMG_032,IMG_020,0.6688049042882386
F03,T019,19,P11,Which image feels more like the end of the day?,IMG_012,IMG_049,0.5607138307550474
F03,T020,20,P12,Which image feels more like a place you have been in recently?,IMG_038,IMG_004,0.9133454987024351
F03,T021,21,P01,Which image feels closer to your past week?,IMG_054,IMG_040,0.8660254037844386
F03,T022,22,P02,Which image feels more familiar right now?,IMG_042,IMG_019,0.77
F03,T023,23,P03,Which image would you rather move away from?,IMG_036,IMG_027,0.8064738061462381
F03,T024,24,P04,Which image feels more like the background of your day?,IMG_016,IMG_033,0.6852736679604725
F03,T025,25,P05,Which image feels more emotionally loud?,IMG_053,IMG_030,0.5663920903402518
F03,T026,26,P06,Which image feels more like your current inner weather?,IMG_042,IMG_026,0.8234682750416072
F03,T027,27,P07,Which image feels harder to leave?,IMG_026,IMG_057,0.6518435395092905
F03,T028,28,P08,Which image feels more difficult to describe?,IMG_014,IMG_033,0.5885575587824864
F03,T029,29,P09,Which image pulls your attention more?,IMG_026,IMG_006,0.677716754994297
F03,T030,30,P10,Which image feels more like the last few mornings?,IMG_060,IMG_016,0.8572047596694735
F03,T031,31,P11,Which image feels more like the end of the day?,IMG_037,IMG_025,0.8139410298049854
F03,T032,32,P12,Which image feels more like a place you have been in recently?,IMG_009,IMG_040,0.6624198064671678
F03,T033,33,P01,Which image feels closer to your past week?,IMG_048,IMG_042,0.6174139616173253
F03,T034,34,P02,Which image feels more familiar right now?,IMG_029,IMG_056,0.7721398836998383
F03,T035,35,P03,Which image would you rather move away from?,IMG_038,IMG_018,0.862902080192185
F03,T036,36,P04,Which image feels more like the background of your day?,IMG_055,IMG_004,0.8527602242131136
F03,T037,37,P05,Which image feels more emotionally loud?,IMG_049,IMG_061,0.6720119046564578
F03,T038,38,P06,Which image feels more like your current inner weather?,IMG_037,IMG_019,0.9518928511129813
F03,T039,39,P07,Which image feels harder to leave?,IMG_053,IMG_018,0.5264978632435273
F03,T040,40,P08,Which image feels more difficult to describe?,IMG_044,IMG_006,0.7028513356322232
F04,T001,1,P01,Which image feels closer to your past week?,IMG_010,IMG_051,0.5560575509783138
F04,T002,2,P02,Which image feels more familiar right now?,IMG_047,IMG_058,0.6560487786742691
F04,T003,3,P03,Which image would you rather move away from?,IMG_031,IMG_003,0.8657944328765347
F04,T004,4,P04,Which image feels more like the background of your day?,IMG_060,IMG_042,0.7594735018419011
F04,T005,5,P05,Which image feels more emotionally loud?,IMG_042,IMG_058,0.6968500556073739
F04,T006,6,P06,Which image feels more like your current inner weather?,IMG_022,IMG_019,0.500499750249688
F04,T007,7,P07,Which image feels harder to leave?,IMG_023,IMG_010,0.6892024376045112
F04,T008,8,P08,Which image feels more difficult to describe?,IMG_033,IMG_037,0.8544003745317531
F04,T009,9,P01,Which image feels closer to your past week?,IMG_007,IMG_058,0.5720139858430037
F04,T010,10,P02,Which image feels more familiar right now?,IMG_055,IMG_033,0.7743384273042376
F04,T011,11,P03,Which image would you rather move away from?,IMG_047,IMG_020,0.8586617494683224
F04,T012,12,P04,Which image feels more like the background of your day?,IMG_026,IMG_040,0.5957348403442593
F04,T013,13,P05,Which image feels more emotionally loud?,IMG_049,IMG_052,0.6723094525588645
F04,T014,14,P06,Which image feels more like your current inner weather?,IMG_024,IMG_002,0.6526867548832288
F04,T015,15,P07,Which image feels harder to leave?,IMG_034,IMG_020,0.6191930232165088
F04,T016,16,P08,Which image feels more difficult to describe?,IMG_022,IMG_052,0.5196152422706632
F04,T017,17,P09,Which image pulls your attention more?,IMG_025,IMG_064,0.5200961449578337
F04,T018,18,P10,Which image feels more like the last few mornings?,IMG_026,IMG_006,0.677716754994297
F04,T019,19,P11,Which image feels more like the end of the day?,IMG_020,IMG_010,0.7658328799418317
F04,T020,20,P12,Which image feels more like a place you have been in recently?,IMG_003,IMG_007,0.667233092704491
F04,T021,21,P01,Which image feels closer to your past week?,IMG_055,IMG_025,0.7849203781276162
F04,T022,22,P02,Which image feels more familiar right now?,IMG_062,IMG_028,0.6732755750805164
F04,T023,23,P03,Which image would you rather move away from?,IMG_004,IMG_054,0.8251060537894507
F04,T024,24,P04,Which image feels more like the background of your day?,IMG_034,IMG_005,0.6000833275470999
F04,T025,25,P05,Which image feels more emotionally loud?,IMG_037,IMG_041,0.5888972745734182
F04,T026,26,P06,Which image feels more like your current inner weather?,IMG_038,IMG_051,0.5944745579080739
F04,T027,27,P07,Which image feels harder to leave?,IMG_052,IMG_005,0.62
F04,T028,28,P08,Which image feels more difficult to describe?,IMG_033,IMG_061,0.644980619863884
F04,T029,29,P09,Which image pulls your attention more?,IMG_031,IMG_028,1.0174969287422937
F04,T030,30,P10,Which image feels more like the last few mornings?,IMG_027,IMG_037,0.9299462350050136
F04,T031,31,P11,Which image feels more like the end of the day?,IMG_033,IMG_060,0.8160882305241267
F04,T032,32,P12,Which image feels more like a place you have been in recently?,IMG_045,IMG_005,0.667233092704491
F04,T033,33,P01,Which image feels closer to your past week?,IMG_022,IMG_061,0.7435052118176442
F04,T034,34,P02,Which image feels more familiar right now?,IMG_042,IMG_048,0.6174139616173253
F04,T035,35,P03,Which image would you rather move away from?,IMG_039,IMG_004,0.9202173656261873
F04,T036,36,P04,Which image feels more like the background of your day?,IMG_038,IMG_014,0.5289612462175277
F04,T037,37,P05,Which image feels more emotionally loud?,IMG_012,IMG_023,0.8698275691193054
F04,T038,38,P06,Which image feels more like your current inner weather?,IMG_037,IMG_064,0.532916503778969
F04,T039,39,P07,Which image feels harder to leave?,IMG_058,IMG_035,0.7258787777583804
F04,T040,40,P08,Which image feels more difficult to describe?,IMG_039,IMG_041,0.7315736463268753
F05,T001,1,P01,Which image feels closer to your past week?,IMG_010,IMG_051,0.5560575509783138
F05,T002,2,P02,Which image feels more familiar right now?,IMG_047,IMG_058,0.6560487786742691
F05,T003,3,P03,Which image would you rather move away from?,IMG_031,IMG_003,0.8657944328765347
F05,T004,4,P04,Which image feels more like the background of your day?,IMG_060,IMG_042,0.7594735018419011
F05,T005,5,P05,Which image feels more emotionally loud?,IMG_042,IMG_058,0.6968500556073739
F05,T006,6,P06,Which image feels more like your current inner weather?,IMG_022,IMG_019,0.500499750249688
F05,T007,7,P07,Which image feels harder to leave?,IMG_023,IMG_010,0.6892024376045112
F05,T008,8,P08,Which image feels more difficult to describe?,IMG_033,IMG_037,0.8544003745317531
F05,T009,9,P01,Which image feels closer to your past week?,IMG_010,IMG_045,0.620322496770833
F05,T010,10,P02,Which image feels more familiar right now?,IMG_033,IMG_019,0.8050465825031493
F05,T011,11,P03,Which image would you rather move away from?,IMG_022,IMG_026,0.6142475071174485
F05,T012,12,P04,Which image feels more like the background of your day?,IMG_061,IMG_009,0.5495452665613635
F05,T013,13,P05,Which image feels more emotionally loud?,IMG_020,IMG_055,0.7970570870395671
F05,T014,14,P06,Which image feels more like your current inner weather?,IMG_022,IMG_015,0.8091971329657563
F05,T015,15,P07,Which image feels harder to leave?,IMG_061,IMG_024,0.7615773105863909
F05,T016,16,P08,Which image feels more difficult to describe?,IMG_042,IMG_013,0.6459102104782057
F05,T017,17,P09,Which image pulls your attention more?,IMG_061,IMG_012,0.8567379996241558
F05,T018,18,P10,Which image feels more like the last few mornings?,IMG_037,IMG_026,0.7088723439378912
F05,T019,19,P11,Which image feels more like the end of the day?,IMG_049,IMG_036,0.6112282715974451
F05,T020,20,P12,Which image feels more like a place you have been in recently?,IMG_031,IMG_032,0.5331041174104736
F05,T021,21,P01,Which image feels closer to your past week?,IMG_014,IMG_024,0.7488658090739622
F05,T022,22,P02,Which image feels more familiar right now?,IMG_035,IMG_019,0.8339064695755755
F05,T023,23,P03,Which image would you rather move away from?,IMG_040,IMG_042,0.9310209449845905
F05,T024,24,P04,Which image feels more like the background of your day?,IMG_061,IMG_006,0.6099180272790763
F05,T025,25,P05,Which image feels more emotionally loud?,IMG_054,IMG_048,0.5126402247190519
F05,T026,26,P06,Which image feels more like your current inner weather?,IMG_018,IMG_053,0.5264978632435273
F05,T027,27,P07,Which image feels harder to leave?,IMG_037,IMG_023,0.861742420912421
F05,T028,28,P08,Which image feels more difficult to describe?,IMG_036,IMG_046,0.506754378372797
F05,T029,29,P09,Which image pulls your attention more?,IMG_012,IMG_027,0.9883319280484669
F05,T030,30,P10,Which image feels more like the last few mornings?,IMG_037,IMG_063,0.735934779718964
F05,T031,31,P11,Which image feels more like the end of the day?,IMG_040,IMG_030,0.7172168430816442
F05,T032,32,P12,Which image feels more like a place you have been in recently?,IMG_049,IMG_024,0.5436910887627275
F05,T033,33,P01,Which image feels closer to your past week?,IMG_032,IMG_062,0.5278257288158659
F05,T034,34,P02,Which image feels more familiar right now?,IMG_018,IMG_021,0.5238320341483518
F05,T035,35,P03,Which image would you rather move away from?,IMG_050,IMG_051,0.7090839160494334
F05,T036,36,P04,Which image feels more like the background of your day?,IMG_041,IMG_029,0.8147392220827473
F05,T037,37,P05,Which image feels more emotionally loud?,IMG_027,IMG_010,0.7445804187594515
F05,T038,38,P06,Which image feels more like your current inner weather?,IMG_036,IMG_060,0.8726969691708572
F05,T039,39,P07,Which image feels harder to leave?,IMG_027,IMG_032,0.9464671151181113
